2023-06-29 15:35:14,818 INFO    StreamThr :666283 [internal.py:wandb_internal():86] W&B internal server running at pid: 666283, started at: 2023-06-29 15:35:14.817608
2023-06-29 15:35:14,821 DEBUG   HandlerThread:666283 [handler.py:handle_request():144] handle_request: status
2023-06-29 15:35:14,828 INFO    WriterThread:666283 [datastore.py:open_for_write():85] open: /home/pastor/mlops-zoomcamp-course/02_wandb/wandb/run-20230629_153511-78lzcbbp/run-78lzcbbp.wandb
2023-06-29 15:35:14,829 DEBUG   SenderThread:666283 [sender.py:send():369] send: header
2023-06-29 15:35:14,829 DEBUG   SenderThread:666283 [sender.py:send():369] send: run
2023-06-29 15:35:14,991 INFO    SenderThread:666283 [dir_watcher.py:__init__():211] watching files in: /home/pastor/mlops-zoomcamp-course/02_wandb/wandb/run-20230629_153511-78lzcbbp/files
2023-06-29 15:35:14,991 INFO    SenderThread:666283 [sender.py:_start_run_threads():1100] run started: 78lzcbbp with start time 1688052913.86087
2023-06-29 15:35:14,999 DEBUG   SenderThread:666283 [sender.py:send_request():396] send_request: summary_record
2023-06-29 15:35:15,000 INFO    SenderThread:666283 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-06-29 15:35:15,005 DEBUG   HandlerThread:666283 [handler.py:handle_request():144] handle_request: check_version
2023-06-29 15:35:15,005 DEBUG   SenderThread:666283 [sender.py:send_request():396] send_request: check_version
2023-06-29 15:35:15,093 DEBUG   HandlerThread:666283 [handler.py:handle_request():144] handle_request: run_start
2023-06-29 15:35:15,095 DEBUG   HandlerThread:666283 [system_info.py:__init__():31] System info init
2023-06-29 15:35:15,095 DEBUG   HandlerThread:666283 [system_info.py:__init__():46] System info init done
2023-06-29 15:35:15,095 INFO    HandlerThread:666283 [system_monitor.py:start():181] Starting system monitor
2023-06-29 15:35:15,095 INFO    SystemMonitor:666283 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-29 15:35:15,096 INFO    HandlerThread:666283 [system_monitor.py:probe():201] Collecting system info
2023-06-29 15:35:15,096 INFO    SystemMonitor:666283 [interfaces.py:start():190] Started cpu monitoring
2023-06-29 15:35:15,098 INFO    SystemMonitor:666283 [interfaces.py:start():190] Started disk monitoring
2023-06-29 15:35:15,099 DEBUG   HandlerThread:666283 [system_info.py:probe():195] Probing system
2023-06-29 15:35:15,100 INFO    SystemMonitor:666283 [interfaces.py:start():190] Started memory monitoring
2023-06-29 15:35:15,101 DEBUG   HandlerThread:666283 [system_info.py:_probe_git():180] Probing git
2023-06-29 15:35:15,103 INFO    SystemMonitor:666283 [interfaces.py:start():190] Started network monitoring
2023-06-29 15:35:15,139 DEBUG   HandlerThread:666283 [system_info.py:_probe_git():188] Probing git done
2023-06-29 15:35:15,139 DEBUG   HandlerThread:666283 [system_info.py:probe():240] Probing system done
